City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kapoeta,SS,4.7717,33.5903,93.63,31,71,12.37,broken clouds
80,Qaanaaq,GL,77.484,-69.3632,-2.45,72,0,8.88,clear sky
81,Faanui,PF,-16.4833,-151.75,78.58,79,14,8.32,light rain
82,Albany,US,42.6001,-73.9662,58.08,89,57,1.01,broken clouds
83,Conde,BR,-7.2597,-34.9075,81.86,74,75,9.22,broken clouds
84,Vallenar,CL,-28.5708,-70.7581,58.75,51,0,1.5,clear sky
85,Alta Floresta,BR,-9.8756,-56.0861,73.53,91,100,3.62,overcast clouds
86,Iquitos,PE,-3.7481,-73.2472,75.24,94,75,0.0,broken clouds
87,Port Alfred,ZA,-33.5906,26.891,67.64,72,99,20.58,moderate rain
88,Mahebourg,MU,-20.4081,57.7,78.26,70,62,12.55,broken clouds
89,Dabola,GN,10.75,-11.1167,81.77,72,100,2.17,overcast clouds
90,Akrata,GR,38.15,22.3167,72.52,63,6,8.37,clear sky
91,Puerto Ayora,EC,-0.7393,-90.3518,69.17,88,93,9.08,overcast clouds
92,Tiksi,RU,71.6872,128.8694,5.2,98,100,3.85,overcast clouds
93,Kapaa,US,22.0752,-159.319,75.52,90,20,10.36,few clouds
94,Springbok,ZA,-29.6643,17.8865,62.31,42,85,20.47,overcast clouds
95,Victoria,HK,22.2855,114.1577,68.32,79,100,12.1,overcast clouds
96,Dikson,RU,73.5069,80.5464,19.58,76,49,10.58,scattered clouds
97,Avarua,CK,-21.2078,-159.775,68.05,64,99,4.61,overcast clouds
98,Zhangye,CN,38.9342,100.4517,55.85,27,71,8.68,broken clouds
99,De Land,US,29.0283,-81.3031,70.88,95,1,0.0,clear sky
100,Baykit,RU,61.67,96.37,35.08,91,91,3.47,overcast clouds
101,Akonolinga,CM,3.7667,12.25,80.15,69,95,4.09,light rain
102,Garowe,SO,8.4054,48.4845,90.48,25,28,9.06,scattered clouds
103,Saskylakh,RU,71.9167,114.0833,-6.39,100,97,0.96,overcast clouds
104,Shache,CN,38.4167,77.2406,57.16,37,50,19.66,scattered clouds
105,Kedrovoye,RU,57.1576,60.5698,40.44,96,100,8.86,overcast clouds
106,Fortuna,US,40.5982,-124.1573,55.74,76,90,4.0,overcast clouds
107,Santa Pola,ES,38.1917,-0.5658,70.52,89,75,1.99,heavy intensity shower rain
108,Mar Del Plata,AR,-38.0023,-57.5575,59.02,95,90,3.0,light rain
109,Dunedin,NZ,-45.8742,170.5036,52.81,81,100,5.99,overcast clouds
110,Bethanien,NA,-26.502,17.1583,79.07,8,5,12.03,clear sky
111,Arauco,CL,-37.2463,-73.3175,44.62,77,2,5.14,clear sky
112,Kaitangata,NZ,-46.2817,169.8464,46.29,95,80,4.0,broken clouds
113,Komsomolskiy,UZ,40.4272,71.7189,54.32,37,100,11.5,overcast clouds
114,Santa Marta,CO,11.2408,-74.199,77.67,82,11,5.32,few clouds
115,Kavieng,PG,-2.5744,150.7967,80.94,77,100,9.4,moderate rain
116,Prince Rupert,CA,54.3161,-130.3201,47.12,87,100,15.93,moderate rain
117,Ampanihy,MG,-24.7,44.75,84.56,23,1,7.14,clear sky
118,Vrede,ZA,-27.4257,29.1659,70.29,42,96,19.46,light rain
119,Dongsheng,CN,39.8161,109.9776,44.17,31,34,8.97,scattered clouds
120,Calbuco,CL,-41.768,-73.1273,45.61,81,39,7.65,scattered clouds
121,Provideniya,RU,64.3833,-173.3,24.87,72,100,12.73,overcast clouds
122,Necochea,AR,-38.5473,-58.7368,54.03,91,100,10.02,overcast clouds
123,Pangnirtung,CA,66.1451,-65.7125,24.89,79,83,1.86,broken clouds
124,Masalli,KR,34.7959,126.6553,52.02,57,12,9.69,few clouds
125,Ghugus,IN,19.9333,79.1333,83.55,53,0,3.44,clear sky
126,Humberto De Campos,BR,-2.5983,-43.4611,82.53,74,82,7.2,broken clouds
127,Pirna,DE,50.9584,13.937,53.06,57,39,5.01,scattered clouds
128,Igunga,TZ,-4.2833,33.8833,91.09,25,95,3.4,overcast clouds
129,Cherskiy,RU,68.75,161.3,-4.81,100,98,4.07,overcast clouds
130,Bougouni,ML,11.417,-7.479,87.8,58,91,0.18,overcast clouds
131,Weinan,CN,34.5036,109.5089,54.86,57,100,4.36,overcast clouds
132,Ponta Do Sol,PT,32.6667,-17.1,73.13,55,44,5.73,scattered clouds
133,Port Pirie,AU,-33.1833,138.0167,62.69,79,79,13.02,broken clouds
134,Bonavista,CA,48.6499,-53.1147,45.12,76,26,15.82,scattered clouds
135,East London,ZA,-33.0153,27.9116,74.98,60,88,13.71,overcast clouds
136,Luganville,VU,-15.5333,167.1667,78.35,86,99,1.39,overcast clouds
137,Lebu,CL,-37.6167,-73.65,48.87,78,32,15.68,scattered clouds
138,Namibe,AO,-15.1961,12.1522,78.55,48,30,14.32,scattered clouds
139,Benghazi,LY,32.1167,20.0667,76.64,46,77,7.63,broken clouds
140,Concepcion Del Oro,MX,24.6333,-101.4167,55.6,81,90,9.51,overcast clouds
141,Saint-Joseph,RE,-21.3667,55.6167,83.46,74,42,3.02,light rain
