City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2021-10-20 09:58:39,-0.7393,-90.3518,69.39,91,100,6.67
1,Mahebourg,MU,2021-10-20 09:58:40,-20.4081,57.7,80.89,50,20,17.27
2,Hermanus,ZA,2021-10-20 09:58:40,-34.4187,19.2345,82.9,46,65,9.8
3,Quibdo,CO,2021-10-20 09:58:40,5.6947,-76.6611,72.48,99,99,1.7
4,Sangar,RU,2021-10-20 09:58:40,63.9242,127.4739,17.44,91,100,8.39
5,Bluff,NZ,2021-10-20 09:58:41,-46.6,168.3333,45.77,70,18,5.08
6,Rikitea,PF,2021-10-20 09:58:41,-23.1203,-134.9692,74.48,67,0,18.21
7,Albany,US,2021-10-20 09:58:41,42.6001,-73.9662,57.92,75,5,1.01
8,Mataura,NZ,2021-10-20 09:58:42,-46.1927,168.8643,37.6,96,3,1.25
9,Henties Bay,NA,2021-10-20 09:58:42,-22.116,14.2845,60.85,70,84,13.53
10,Vaini,TO,2021-10-20 09:58:42,-21.2,-175.2,71.76,83,20,10.36
11,Hobart,AU,2021-10-20 09:58:43,-42.8794,147.3294,52.27,71,40,1.99
12,Aykhal,RU,2021-10-20 09:58:43,66.0,111.5,17.51,90,70,9.64
13,Hovd,MN,2021-10-20 09:58:44,48.0056,91.6419,43.48,37,46,2.13
14,Cidreira,BR,2021-10-20 09:58:44,-30.1811,-50.2056,62.46,69,93,11.52
15,Borgarnes,IS,2021-10-20 09:58:45,64.5383,-21.9206,33.19,66,77,10.33
16,Katsuura,JP,2021-10-20 09:58:45,35.1333,140.3,63.1,50,46,19.17
17,Souillac,MU,2021-10-20 09:58:45,-20.5167,57.5167,80.98,50,20,17.27
18,Monrovia,LR,2021-10-20 09:58:45,6.3005,-10.7969,82.17,74,100,5.86
19,Linares,CL,2021-10-20 09:58:22,-35.85,-71.6,46.56,91,14,3.27
20,Chuy,UY,2021-10-20 09:58:46,-33.6971,-53.4616,56.12,82,0,4.83
21,Caborca,MX,2021-10-20 09:58:46,30.5838,-111.101,59.95,59,0,3.18
22,Itoman,JP,2021-10-20 09:58:47,26.1247,127.6694,77.02,61,75,12.66
23,Husavik,IS,2021-10-20 09:58:47,66.0449,-17.3389,31.91,72,100,21.32
24,Altar,MX,2021-10-20 09:58:47,30.7,-111.8167,61.86,63,1,1.86
25,Lata,PT,2021-10-20 09:58:48,40.1629,-8.3327,68.92,68,5,5.91
26,Ushuaia,AR,2021-10-20 09:54:35,-54.8,-68.3,53.26,58,90,4.61
27,Saint-Philippe,RE,2021-10-20 09:58:48,-21.3585,55.7679,78.39,74,46,11.61
28,Avarua,CK,2021-10-20 09:58:48,-21.2078,-159.775,73.45,73,20,5.75
29,Provideniya,RU,2021-10-20 09:58:49,64.3833,-173.3,24.96,89,63,5.37
30,Kyra,RU,2021-10-20 09:58:49,49.5776,111.9753,33.39,72,76,6.38
31,Kapaa,US,2021-10-20 09:58:49,22.0752,-159.319,69.78,92,0,9.15
32,Kaka,TM,2021-10-20 09:58:50,37.3482,59.6143,72.73,25,100,5.91
33,Havre-Saint-Pierre,CA,2021-10-20 09:58:50,50.2334,-63.5986,46.4,100,90,5.75
34,Valparaiso,CL,2021-10-20 09:53:58,-33.0393,-71.6273,57.47,88,90,4.61
35,Srednekolymsk,RU,2021-10-20 09:58:50,67.45,153.6833,-7.1,97,16,2.84
36,Mokobeng,BW,2021-10-20 09:58:51,-22.9965,27.6678,73.87,38,15,13.73
37,Carnarvon,AU,2021-10-20 09:58:51,-24.8667,113.6333,71.67,60,40,13.8
38,Punta Arenas,CL,2021-10-20 09:58:40,-53.15,-70.9167,46.51,71,0,25.32
39,Upernavik,GL,2021-10-20 09:58:51,72.7868,-56.1549,32.14,99,100,14.76
40,Lagoa,PT,2021-10-20 09:58:52,39.05,-27.9833,68.36,67,99,8.72
41,Vostok,RU,2021-10-20 09:58:52,46.4856,135.8833,18.9,80,47,1.74
42,Tiksi,RU,2021-10-20 09:58:52,71.6872,128.8694,14.4,94,100,7.72
43,Micheweni,TZ,2021-10-20 09:58:53,-4.9667,39.8333,83.16,63,70,11.25
44,Helong,CN,2021-10-20 09:58:53,42.5397,128.9972,32.65,64,22,4.72
45,Nhulunbuy,AU,2021-10-20 09:55:16,-12.2333,136.7667,83.01,74,100,6.91
46,Camacupa,AO,2021-10-20 09:58:53,-12.0167,17.4833,66.51,81,100,8.59
47,Dikson,RU,2021-10-20 09:58:54,73.5069,80.5464,23.18,73,45,4.34
48,Rio Gallegos,AR,2021-10-20 09:58:54,-51.6226,-69.2181,55.45,54,0,16.11
49,Methoni,GR,2021-10-20 09:58:54,36.8197,21.7049,71.46,62,0,5.48
50,Sao Joao Do Piaui,BR,2021-10-20 09:58:55,-8.3581,-42.2467,84.92,41,26,2.77
51,Copparo,IT,2021-10-20 09:58:55,44.893,11.8249,69.06,58,22,5.44
52,Knurow,PL,2021-10-20 09:54:26,50.2197,18.6507,64.72,66,100,16.64
53,Hithadhoo,MV,2021-10-20 09:58:55,-0.6,73.0833,82.83,75,81,13.67
54,Salalah,OM,2021-10-20 09:58:56,17.0151,54.0924,82.38,65,96,9.91
55,Teya,RU,2021-10-20 09:58:56,60.3778,92.6267,43.09,78,98,7.31
56,Charters Towers,AU,2021-10-20 09:58:56,-20.1,146.2667,75.02,69,32,12.41
57,Mayo,US,2021-10-20 09:58:57,38.8876,-76.5119,59.99,72,95,1.99
58,Barrow,US,2021-10-20 09:58:57,71.2906,-156.7887,24.82,80,90,32.21
59,Makakilo City,US,2021-10-20 09:58:57,21.3469,-158.0858,73.69,69,3,7.92
60,Tessalit,ML,2021-10-20 09:58:58,20.1986,1.0114,82.87,17,0,10.25
61,Martinsville,US,2021-10-20 09:58:58,36.6915,-79.8725,56.28,59,73,3.85
62,Qaanaaq,GL,2021-10-20 09:58:58,77.484,-69.3632,24.06,93,99,1.95
63,Anloga,GH,2021-10-20 09:58:58,5.7947,0.8973,84.42,72,100,9.55
64,Guerrero Negro,MX,2021-10-20 09:58:59,27.9769,-114.0611,62.35,74,94,9.57
